Startup_ID,Startup_Name,sector,founded_year,headquarters,founder_count,funding_stage,current_status,Total_Funding_Raised,Latest_Funding_Amount,Latest_Funding_Round,Latest_Funding_Date,Number_of_Funding_Rounds,Funding_Timeline,Investors_List,Last_Funding_Lead_Investor,Valuation,Revenue,Profit_or_Loss,Gross_Margin,Employee_Count,Monthly_Visits,Google_Trends_Score,App_Downloads,App_Rating,App_Reviews_Count,TAM,TAM_Growth_Rate,Market_Size_Category,Positive_News_Count,Negative_News_Count,Neutral_News_Count,Total_News_Count,Historical_Exit_Type,Exit_Year,Exit_Valuation_USD_Million,Acquirer_Name,Exit_Status,Exit_Reason,Years_to_Exit,Funding_Score,Financial_Health_Score,Growth_Score,Market_Opportunity_Score,Popularity_Score,Media_Buzz_Score,Sentiment_Score,Exit_Score,Startup_Age,Startup_Maturity_Score,Investor_Confidence_Score,Operational_Strength_Score,Competitive_Strength_Score,Valuation_Score,Overall_Startup_Score,Success_Label,Unicorn_Label,Startup_Category,Exit_Label,IPO_Label,Acquisition_Label,Risk_Label,Growth_Label,Funding_Requirement_Label,Funding_Stage_Label,Stage_Score,Funding_Stage_Name,Portfolio_Fit_Score,Portfolio_Fit_Label,Portfolio_Fit_Name,Investment_Score,Investment_Recommendation_Label,Investment_Recommendation_Name,Funding_Readiness_Score,Funding_Readiness_Label,Funding_Readiness_Name,Revenue_Normalized,Profit_Normalized,Margin_Normalized,Burn_Risk_Score,Burn_Risk_Label,Burn_Risk_Name,Valuation_Normalized,Valuation_Growth_Prediction,Funding_Rounds_Normalized,Follow_On_Funding_Probability,Reviews_Normalized,Rating_Normalized,Market_Leadership_Probability,Competitive_Survival_Probability,Predicted_Acquisition,Acquisition_Probability,Burn_Risk_Prediction,Burn_Risk_Confidence,Predicted_Exit,Exit_Probability,Predicted_Funding_Readiness,Funding_Readiness_Confidence,Predicted_Funding_Readiness_Name,Predicted_Funding_Requirement,Funding_Requirement_Probability,Predicted_Funding_Requirement_Name,Predicted_Funding_Stage,Funding_Stage_Confidence,Predicted_Funding_Stage_Name,Predicted_Growth_Potential,Growth_Potential_Probability,Predicted_Growth_Potential_Name,Predicted_Investment_Recommendation,Investment_Recommendation_Confidence,Predicted_Investment_Recommendation_Name,Predicted_Portfolio_Fit,Portfolio_Fit_Confidence,Predicted_Portfolio_Fit_Name,Predicted_Risk,Risk_Probability,Predicted_Risk_Name,Predicted_Unicorn,Unicorn_Probability,Success_Probability
ST011,Swiggy Instamart,Quick Commerce,2020,"Bengaluru, India",3,Public (Parent IPO),Subsidiary,4600.0,1200.0,Public (IPO),Nov 2024 / Listed to 2026,16,Seed → Series A to K → Public Listing,"Prosus, SoftBank, Accel, Elevation Capital, Public Shareholders",Public Markets / Book Running Managers,11200,3859.0,-3063.0,25,1800,18000000,84,60000000,4.5,850000,60000,45,Very Large,680,85,210,975,Subsidiary,0,0,0,Active,Still Private / Subsidiary Unit,0.0,58.59938759,18.98979801,38.2536443,59.65417867,41.8173266,49.44146185,60.96311475,30.0,6,12.86326417,62.96391776,19.94131882,65.45303323,40.83207402,53.78737529,1,1,Excellent,0,0,0,0,1,1,2,74.32141905,Series A,66.03546315,3,Excellent Fit,42.2996697,3,Strong Invest,38.41069886,3,Highly Ready,10.15759502,26.79867987,19.23076923,70.8021143,1,Moderate Risk,39.9463807,44.32,57.14285714,44.85,10.0,95.74468083,54.48,40.08,0,4.6,1,88.93,0,3.67,3,95.33,Highly Ready,1,89.92,High Funding Required,2,93.87,Series A,1,98.6,High Growth Potential,3,92.67,Strong Invest,3,96.67,,0,0.0,Low Risk,1,94.33,1.0
ST012,BigBasket,Quick Commerce,2011,"Bengaluru, India",5,Late Stage (Series G),Acquired,1300.0,200.0,Corporate Infusion,Dec 2023 (Internal debt to 2025),12,Seed → Series A to E → Acquisition by Tata → Growth Rounds,"Tata Digital, Alibaba Group, Helion Ventures, Bessemer Venture Partners",Tata Digital,4500,9866.7,-2006.8,28,2600,12000000,52,50000000,4.3,720000,55000,28,Very Large,420,35,145,600,Acquisition,2021,2000,Tata Digital,Acquired,Strategic Acquisition,10.0,21.23323126,29.9555263,28.94546378,44.38256484,35.75152457,28.26774368,64.05990017,22.16666667,15,31.08512424,27.876077,29.20534602,42.47330645,22.30881989,41.08893447,1,0,Good,1,0,1,0,0,0,1,47.18735615,Pre-Series A,44.16387626,3,Excellent Fit,33.59263427,3,Strong Invest,31.79413568,3,Highly Ready,26.06992451,36.75813296,23.07692308,71.98347747,1,Moderate Risk,15.99642538,34.17,42.85714286,26.59,8.470588235,91.48936168,37.87,34.85,1,97.93,1,98.1,1,94.56,3,92.33,Highly Ready,0,4.06,Low Funding Required,1,93.11,Pre-Series A,0,8.03,Low Growth Potential,3,97.0,Strong Invest,3,90.67,,0,0.0,Low Risk,0,18.67,1.0
ST013,BB Now,Quick Commerce,2022,"Bengaluru, India",5,Growth Stage,Subsidiary,,,Internal Allocation,Continuous (Fully integrated),0,Fully integrated into BigBasket,Tata Digital (via Innovative Retail Concepts),Tata Digital,1400,2140.0,-65.0,24,450,4000000,18,10000000,4.2,40000,45000,35,Large,190,15,65,270,Subsidiary,0,0,0,Active,Still Private / Subsidiary Unit,0.0,0.0,19.31807466,6.716117831,44.58933718,21.84751819,9.604491947,64.57564576,30.0,4,2.891470821,0.0,19.81715045,23.95065872,0.0,20.19657191,0,0,Weak,0,0,0,1,0,1,0,6.397578771,Seed,12.76391528,0,Poor Fit,16.69663024,0,Reject,16.27895734,0,Not Ready,5.604555688,55.06836398,17.94871795,81.92652633,3,Critical Risk,4.91510277,19.38,0.0,6.85,0.470588235,89.36170211,23.98,21.44,0,1.52,3,0.41,0,0.97,0,93.33,Not Ready,1,98.58,High Funding Required,0,99.62,Seed,0,0.0,Low Growth Potential,0,92.67,Reject,0,92.67,,1,100.0,High Risk,0,0.0,0.0
ST014,Flipkart Minutes,Quick Commerce,2024,"Bengaluru, India",2,Early Stage,Subsidiary,,,Corporate Allocation,Ongoing (Pivoted explicitly in 2024/25),0,Fully integrated into Flipkart,"Walmart, Tencent, Tiger Global (via Parent Flipkart)",Walmart Inc.,1400,2140.0,-65.0,20,600,25000000,48,5000000,4.4,120000,60000,42,Very Large,310,22,95,427,Subsidiary,0,0,0,Active,Still Private / Subsidiary Unit,0.0,0.0,17.9544383,22.92738999,57.40417867,32.06781279,18.75141605,67.28971963,30.0,2,1.164510166,0.0,18.73077841,38.29483403,0.0,26.17512833,0,0,Average,0,0,0,1,0,1,0,4.982840472,Seed,18.52935256,1,Moderate Fit,22.33364345,1,Watchlist,20.03180446,1,Early Preparation,5.604555688,55.06836398,12.82051282,81.28162914,3,Critical Risk,4.91510277,28.63,0.0,8.9,1.411764706,93.61702126,36.19,28.9,0,2.53,3,1.58,0,1.12,1,73.33,Nearly Ready,1,98.23,High Funding Required,0,99.44,Seed,0,0.01,Low Growth Potential,1,78.33,Watchlist,1,71.33,,1,99.99,High Risk,0,1.33,0.0
ST015,Meesho,E-commerce,2015,"Bengaluru, India",2,Late Stage (Series F),Private,1200.0,275.0,Series H,May 2024 (Follow-on blocks to 2025),12,Seed → Series A to H,"SoftBank, Prosus Ventures, Elevation Capital, Peak XV, Meta, Fidelity",Venture Highway / WestBridge Capital,4200,7615.0,125.0,55,1350,45000000,89,150000000,4.4,2400000,85000,24,Very Large,540,62,180,782,Private,0,0,0,Active,Still Private,0.0,20.69390727,40.20034475,71.53604117,56.51224784,76.12870484,38.38743043,61.04725415,30.0,11,20.94953007,27.12045327,38.33166632,74.30387192,19.82152259,57.30269981,1,1,Excellent,0,0,0,0,1,1,2,52.62059856,Series A,64.51354869,3,Excellent Fit,50.22541154,3,Strong Invest,45.25241105,3,Highly Ready,20.10594623,56.85997171,57.69230769,58.42210654,0,Low Risk,14.92403932,56.58,42.85714286,35.59,28.23529412,93.61702126,63.97,56.39,0,1.11,0,1.11,0,11.32,3,97.67,Highly Ready,1,79.24,High Funding Required,1,61.0,Pre-Series A,1,100.0,High Growth Potential,3,97.67,Strong Invest,3,97.67,,0,0.0,Low Risk,1,85.67,1.0
ST016,Myntra,E-commerce,2007,"Bengaluru, India",3,Late Stage (Series E),Acquired,,,Subsidiary Allocation,Continuous,0,Acquired by Flipkart → Maintained independent brand ops,"Walmart, Flipkart Group",Walmart Inc.,5000,4235.0,-310.0,44,2400,48000000,78,100000000,4.3,1800000,40000,18,Very Large,380,24,115,519,Acquisition,2014,330,Flipkart,Acquired,Strategic Acquisition,7.0,0.0,31.15659231,63.31979144,29.31772334,65.74583614,24.10333448,68.46153846,22.02,19,28.85352631,7.142857143,33.01811804,50.62979007,12.29155086,40.97825303,1,0,Good,1,0,1,0,1,1,1,26.24122889,Pre-Series A,33.25407486,2,Good Fit,36.44485272,3,Strong Invest,32.34890947,3,Highly Ready,11.1534896,52.75813296,43.58974359,69.282094,0,Low Risk,17.78373548,41.05,0.0,20.82,21.17647059,91.48936168,44.69,42.01,1,98.17,0,3.5,1,96.99,3,85.33,Highly Ready,1,98.24,High Funding Required,1,98.36,Pre-Series A,1,100.0,High Growth Potential,3,92.0,Strong Invest,2,71.33,,0,0.0,Low Risk,0,11.0,1.0
ST017,Nykaa,E-commerce,2012,"Mumbai, India",1,Public (IPO),Public,130.0,,Public (IPO),Nov 2021 (Public reporting up to FY26),9,Seed → Growth Rounds → IPO Listing,"FSN E-Commerce Ventures, TPG Growth, Steadview Capital, Fidelity",Public Markets,4800,7450.0,58.0,43,2100,16000000,64,50000000,4.5,950000,18000,22,Large,410,55,160,625,IPO,2021,7100,0,Public,IPO Listing,9.0,7.598571429,35.76470488,32.30616472,21.22262248,39.0830021,28.98734177,56.70926518,35.31666667,14,26.068598,17.89357588,35.36969819,30.65087642,16.79134444,36.13820303,1,0,Good,1,1,0,0,1,1,1,38.08169285,Pre-Series A,35.34214402,2,Good Fit,30.99199313,3,Strong Invest,30.17583829,3,Highly Ready,19.66891802,56.22819425,42.30769231,68.1198827,0,Low Risk,17.06881144,29.24,32.14285714,22.29,11.17647059,95.74468083,28.14,32.18,0,1.28,0,2.34,1,88.48,2,49.67,Ready,1,81.96,High Funding Required,1,97.13,Pre-Series A,1,99.8,High Growth Potential,3,82.0,Strong Invest,2,78.33,,0,0.0,Low Risk,0,2.33,0.971
ST018,FirstCry,E-commerce,2010,"Pune, India",3,Public (IPO),Public,970.0,4193.0,Public (IPO),Aug-24,14,Seed → Series A to G → Pre-IPO → Public Listing,"SoftBank Vision Fund, PremjiInvest, Mahindra Partners, TPG, Public Markets",Public Markets,3200,7240.0,-295.0,36,2900,15000000,55,20000000,4.4,410000,12000,15,Large,220,28,90,338,IPO,2024,2900,0,Public,IPO Listing,14.0,38.89419346,32.43468534,25.70244299,12.94668588,30.90207265,13.00990001,56.63716814,19.26666667,16,30.207224,38.1573173,33.6295946,31.96949181,23.25645584,38.56892082,1,0,Good,1,1,0,0,0,0,2,66.25452498,Series A,43.90287374,3,Excellent Fit,31.65088151,3,Strong Invest,31.47298083,3,Highly Ready,19.1127003,52.89957567,33.33333333,65.05949196,0,Low Risk,11.34941912,27.08,50.0,34.91,4.823529412,93.61702126,25.47,29.58,0,11.52,1,62.02,1,96.5,3,86.0,Highly Ready,0,2.38,Low Funding Required,2,95.21,Series A,0,0.4,Low Growth Potential,3,64.33,Strong Invest,3,89.67,,0,0.0,Low Risk,0,10.67,0.999
ST019,Lenskart,E-commerce,2010,"Gurugram, India",3,Public (NSE/BSE),Private,1800.0,7278.0,Public (IPO),Nov-25,16,Private Stages → Series A to J → Mega IPO Listing,"Peak XV Partners, Temasek, Alpha Wave Global, KKR, Public Shareholders",Public Markets,7200,6430.0,-65.0,60,4200,8000000,62,15000000,4.5,380000,11000,16,Large,460,18,130,608,IPO,2025,7700,0,Public,Initial Public Offering (IPO),15.0,62.62857143,40.10082073,24.32589974,13.19236311,26.86335117,29.59168596,72.57799672,29.21666667,16,32.95404091,59.69297573,44.12749713,37.70305138,36.95249914,51.34874066,1,0,Excellent,1,1,0,0,0,0,3,100.0,Series B+,66.68728476,3,Excellent Fit,40.40846164,3,Strong Invest,40.89229509,3,Highly Ready,16.9672891,55.06836398,64.1025641,54.43783475,0,Low Risk,25.64789991,31.79,57.14285714,49.79,4.470588235,95.74468083,28.25,35.13,0,1.07,0,1.61,1,89.5,3,85.67,Highly Ready,0,1.58,Low Funding Required,2,90.61,Series A,0,1.29,Low Growth Potential,3,92.67,Strong Invest,3,88.33,,0,0.0,Low Risk,0,16.67,1.0
ST020,Pepperfry,E-commerce,2011,"Mumbai, India",2,Late Stage (Pre-IPO),Private,285.0,23.0,Late Stage / Bridge,Sept 2023 (Internal adjustments in 2025),11,Seed → Series A to F → Debt/Bridge Rounds,"Norwest Venture Partners, Broadview Ventures, Goldman Sachs, Pidilite",Pidilite Industries,310,207.0,-122.0,48,700,3500000,24,5000000,4.1,85000,4500,12,Medium,95,34,70,199,Private,0,0,0,Active,Still Private,0.0,10.53275017,27.54377442,6.906655566,6.91426513,20.28546397,4.436782741,30.5,30.0,15,15.5895153,14.68718151,28.39537272,10.80572552,3.91153922,19.96874817,0,0,Weak,0,0,0,0,0,0,1,29.82733815,Pre-Series A,17.65508894,1,Moderate Fit,17.61631405,0,Reject,19.22675412,1,Early Preparation,0.484704013,54.53088166,48.71794872,74.41998593,2,High Risk,1.018766756,13.47,39.28571428,16.22,1.0,87.23404253,10.67,17.53,0,0.37,2,4.06,0,1.22,1,78.0,Nearly Ready,0,0.62,Low Funding Required,1,98.29,Pre-Series A,0,0.0,Low Growth Potential,0,66.0,Reject,1,91.0,,1,90.91,High Risk,0,0.0,0.0
