Startup_ID,Startup_Name,Employee_Count,Monthly_Visits,Google_Trends_Score,App_Downloads,App_Rating,App_Reviews_Count,TAM,TAM_Growth_Rate,Market_Size_Category
ST171,Purplle,"~2,400",~16M monthly,78,~50M+,4.4,~1.2M,$28 Bn,22%,Very Large
ST172,Licious,"~3,200",~9.5M monthly,72,~10M+,4.4,~680K,$15 Bn,18%,Large
ST173,The Good Glamm Group,"~1,800",~12M monthly,70,~10M+,4.3,~450K,$28 Bn,22%,Very Large
ST174,Wakefit,"~2,100",~6.8M monthly,68,~1M+,4.4,~120K,$18 Bn,16%,Large
ST175,Sugar Cosmetics,"~1,600",~8.2M monthly,74,~10M+,4.4,~380K,$28 Bn,22%,Very Large
ST176,WOW Skin Science,~950,~4.2M monthly,58,~5M+,4.2,~180K,$28 Bn,22%,Very Large
ST177,Minimalist,~480,~5.8M monthly,72,~1M+,4.6,~95K,$28 Bn,22%,Very Large
ST178,Plum Goodness,~850,~4.8M monthly,62,~5M+,4.4,~210K,$28 Bn,22%,Very Large
ST179,MCaffeine,~620,~3.9M monthly,58,~5M+,4.3,~160K,$28 Bn,22%,Very Large
ST180,The Man Company,~540,~2.8M monthly,52,~1M+,4.3,~85K,$12 Bn,20%,Large
ST181,Beardo,~420,~2.4M monthly,50,~1M+,4.2,~75K,$12 Bn,20%,Large
ST182,Man Matters (Mosaic),~480,~3.5M monthly,56,~5M+,4.4,~140K,$18 Bn,22%,Large
ST183,Kapiva,~580,~3.8M monthly,58,~1M+,4.4,~95K,$18 Bn,22%,Large
ST184,Snitch,~380,~4.2M monthly,68,~5M+,4.5,~180K,$22 Bn,20%,Large
ST185,Bewakoof,~850,~7.2M monthly,66,~10M+,4.3,~520K,$22 Bn,20%,Large
ST186,The Souled Store,~920,~8.5M monthly,74,~5M+,4.6,~340K,$22 Bn,20%,Large
ST187,Clovia,~780,~4.5M monthly,58,~5M+,4.3,~240K,$14 Bn,18%,Large
ST188,Zivame,~950,~5.8M monthly,62,~10M+,4.3,~380K,$14 Bn,18%,Large
ST189,BlueStone,"~1,800",~6.4M monthly,66,~5M+,4.4,~210K,$25 Bn,18%,Very Large
ST190,CaratLane,"~2,800",~12M monthly,78,~10M+,4.5,~480K,$25 Bn,18%,Very Large
ST191,Giva,"~1,200",~7.8M monthly,76,~5M+,4.5,~290K,$25 Bn,20%,Very Large
ST192,Melorra,~650,~3.2M monthly,52,~1M+,4.2,~85K,$25 Bn,18%,Very Large
ST193,Nestasia,~340,~2.8M monthly,55,~1M+,4.5,~65K,$20 Bn,18%,Large
ST194,Beco,~220,~1.8M monthly,48,~500K+,4.5,~32K,$15 Bn,22%,Large
ST195,SuperBottoms,~210,~1.5M monthly,45,~500K+,4.6,~42K,$12 Bn,20%,Large
ST196,The Whole Truth,~280,~2.6M monthly,62,~500K+,4.6,~58K,$18 Bn,22%,Large
ST197,Slurrp Farm,~260,~2.1M monthly,54,~500K+,4.5,~36K,$18 Bn,22%,Large
ST198,Blue Tokai Coffee,"~1,400",~3.8M monthly,64,~1M+,4.6,~82K,$10 Bn,20%,Medium
ST199,Third Wave Coffee,"~1,600",~4.2M monthly,66,~1M+,4.5,~95K,$10 Bn,20%,Medium
ST200,Sleepy Owl Coffee,~280,~1.8M monthly,48,~500K+,4.4,~28K,$10 Bn,20%,Medium
