Startup_ID,Startup_Name,sector,founded_year,headquarters,founder_count,funding_stage,current_status
ST062,Ather Energy,Mobility / CleanTech,2013,"Bengaluru, India",2,Public (NSE/BSE),Public
ST063,Rapido,Mobility / Logistics,2015,"Bengaluru, India",3,Late Stage (Series E),Private
ST064,Namma Yatri,Mobility / Open Network,2022,"Bengaluru, India",2,Early Stage (Seed Round),Private
ST065,CarDekho,E-commerce / AutoTech,2008,"Jaipur, India",2,Late Stage (Series E / Pre-IPO),Private
ST066,Cars24,E-commerce / AutoTech,2015,"Gurugram, India",4,Late Stage (Series G),Private
ST067,Spinny,E-commerce / AutoTech,2015,"Gurugram, India",3,Late Stage (Series E),Private
ST068,ACKO,FinTech / InsurTech,2016,"Bengaluru, India",2,Late Stage (Series D),Private
ST069,Policybazaar,FinTech / InsurTech,2008,"Gurugram, India",3,Public (NSE/BSE),Public
ST070,Digit Insurance,FinTech / InsurTech,2016,"Bengaluru, India",1,Public (NSE/BSE),Public
ST071,Navi,FinTech,2018,"Bengaluru, India",2,Late Stage (Series G / Pre-IPO),Private
ST072,BharatPe,FinTech,2018,"New Delhi, India",3,Late Stage (Series E),Private
ST073,Paytm,FinTech,2010,"Noida, India",1,Public (NSE/BSE),Public
ST074,Cashfree Payments,FinTech,2015,"Bengaluru, India",2,Late Stage (Series B),Private
ST075,OfBusiness,B2B Marketplace & FinTech,2015,"Gurugram, India",3,Late Stage (Pre-IPO),Private
ST076,Infra.Market,B2B Marketplace / Construction,2016,"Thane, India",2,Late Stage (Series D / Pre-IPO),Private
ST077,Zetwerk,B2B Manufacturing,2018,"Bengaluru, India",4,Late Stage (Series F),Private
ST078,ElasticRun,B2B Logistics / E-commerce,2016,"Pune, India",3,Late Stage (Series E),Private
ST079,Udaan,B2B E-commerce,2016,"Bengaluru, India",3,Late Stage (Series E),Private
ST080,Ninjacart,Agritech / Supply Chain,2015,"Bengaluru, India",5,Late Stage (Series D),Private
ST081,DeHaat,Agritech,2012,"Patna, India",4,Late Stage (Series E),Private
ST082,AgroStar,Agritech,2013,"Pune, India",2,Late Stage (Series D),Private
ST083,Moglix,B2B E-commerce / Procurement,2015,"Noida, India",1,Late Stage (Series F),Private
ST084,Khatabook,FinTech / SaaS,2017,"Bengaluru, India",4,Late Stage (Series C),Private
ST085,Dukaan,SaaS / E-commerce Infrastructure,2020,"Bengaluru, India",2,Growth Stage (Series A),Private
ST086,BrowserStack,SaaS / Enterprise Tech,2011,"Mumbai, India",2,Late Stage (Series B / PE),Private
ST087,Snapdeal,E-commerce,2010,"New Delhi, India",2,Late Stage (Pre-IPO Market),Private
ST088,Chargebee,SaaS / Enterprise Tech,2011,"Chennai, India",4,Late Stage (Series H),Private
ST089,Hasura,SaaS / Developer Tools,2017,"Bengaluru, India",2,Late Stage (Series C),Private
ST090,InMobi,AdTech,2007,"Bengaluru, India",4,Late Stage (Pre-IPO / Private Equity),Private
ST091,Dream11,GamingTech,2008,"Mumbai, India",2,Late Stage (Series G / Private Equity),Private
ST092,MakeMyTrip,TravelTech,2000,"Gurugram, India",1,Public (NASDAQ),Public
ST093,Goibibo,TravelTech,2007,"Gurugram, India",1,Late Stage (Acquired by MakeMyTrip),Acquired
ST094,Yatra,TravelTech,2006,"Gurugram, India",3,Public (NSE/BSE / NASDAQ),Public
ST095,TBO.com,TravelTech,2006,"Gurugram, India",2,Public (NSE/BSE),Public
ST096,ixigo,TravelTech,2007,"Gurugram, India",2,Public (NSE/BSE),Public
ST097,EaseMyTrip,TravelTech,2008,"New Delhi, India",3,Public (NSE/BSE),Public
ST098,OYO,Hospitality / PropTech,2013,"Gurugram, India",1,Late Stage (Pre-IPO Series G),Private
ST099,Ola Cabs,Mobility / Transportation,2010,"Bengaluru, India",2,Public (NSE/BSE),Public
ST100,Apna,HRTech / Jobs Platform,2019,"Bengaluru, India",1,Late Stage (Series C),Private
