Startup_ID,Startup_Name,sector,founded_year,headquarters,founder_count,funding_stage,current_status
ST120,Country Delight,Quick Commerce / D2C Dairy,2013,"Gurugram, India",2,Late Stage (Series E),Private
ST121,Fraazo,Quick Commerce / Fresh Produce,2019,"Mumbai, India",4,Late Stage (Series B),Private
ST122,KisanKonnect,Quick Commerce / Fresh Produce,2020,"Mumbai, India",2,Growth Stage (Series A),Private
ST123,DeepRooted,Quick Commerce / Fresh Produce,2020,"Bengaluru, India",3,Growth Stage (Series A),Private
ST124,Tendercuts,Quick Commerce / Meat & Seafood,2015,"Chennai, India",1,Growth Stage (Series A),Acquired
ST125,Fipola,Quick Commerce / Meat & Seafood,2016,"Chennai, India",1,Growth Stage (Series A),Private
ST126,Supr Daily,Quick Commerce,2015,"Mumbai, India",2,Growth Stage (Series A),Subsidiary
ST127,Livspace,PropTech / Home Interior,2014,"Bengaluru, India",2,Late Stage (Series F),Private
ST128,Snoonu India,Quick Commerce,2019,"Bengaluru, India",2,Growth Stage (Seed/Venture),Private
ST129,Ola Dash,Quick Commerce,2021,"Bengaluru, India",1,Early Stage (Backed by Parent),Subsidiary
ST130,HomeLane,PropTech / Home Interior,2014,"Bengaluru, India",2,Late Stage (Series E),Private
ST131,Slice,FinTech,2016,"Bengaluru, India",1,Late Stage (Series C),Private
ST132,Upstox,FinTech,2010,"Mumbai, India",3,Late Stage (Series C),Private
ST133,OneCard,FinTech,2018,"Pune, India",3,Late Stage (Series D),Private
ST134,Money View,FinTech,2014,"Bengaluru, India",2,Late Stage (Series E),Private
ST135,KreditBee,FinTech,2018,"Bengaluru, India",3,Late Stage (Series D),Private
ST136,Perfios,FinTech,2008,"Bengaluru, India",2,Late Stage (Series D / Pre-IPO),Private
ST137,InCred,FinTech,2016,"Mumbai, India",1,Late Stage (Series D),Private
ST138,Yubi (CredAvenue),FinTech,2017,"Chennai, India",1,Late Stage (Series B),Private
ST139,Oxyzo,FinTech,2016,"Gurugram, India",2,Late Stage (Series A),Private
ST140,Vivriti Capital,FinTech,2017,"Chennai, India",2,Late Stage (Series C),Private
ST141,CoinSwitch,FinTech,2017,"Bengaluru, India",3,Late Stage (Series C),Private
ST142,CoinDCX,FinTech,2018,"Mumbai, India",2,Late Stage (Series D),Private
ST143,Juspay,FinTech,2012,"Bengaluru, India",2,Late Stage (Series C),Private
ST144,Indifi,FinTech,2015,"Gurugram, India",3,Late Stage (Series E),Private
ST145,Lendingkart,FinTech,2014,"Ahmedabad, India",2,Late Stage (Series D),Private
ST146,Rupeek,FinTech,2015,"Bengaluru, India",2,Late Stage (Series C),Private
ST147,Jar,FinTech,2021,"Bengaluru, India",2,Growth Stage (Series B),Private
ST148,Mswipe,FinTech,2011,"Mumbai, India",1,Late Stage (Series E),Private
ST149,axio (Capital Float),FinTech,2013,"Bengaluru, India",2,Late Stage (Series C),Private
ST150,PayU India,FinTech,2011,"Gurugram, India",2,Late Stage (Corporate Infusion),Subsidiary
ST151,Fibe (EarlySalary),FinTech,2015,"Pune, India",2,Late Stage (Series E),Private
ST152,Stashfin,FinTech,2016,"New Delhi, India",2,Late Stage (Series C),Private
ST153,CASHe,FinTech,2016,"Mumbai, India",1,Growth Stage (Series B),Private
ST154,Niyo,FinTech,2015,"Bengaluru, India",2,Late Stage (Series C),Private
ST155,Progcap,FinTech,2017,"New Delhi, India",2,Late Stage (Series C),Private
ST156,KredX,FinTech,2015,"Bengaluru, India",3,Late Stage (Series B),Private
ST157,Velocity,FinTech,2020,"Bengaluru, India",2,Growth Stage (Series B),Private
ST158,GetVantage,FinTech,2019,"Mumbai, India",2,Growth Stage (Series A),Private
ST159,Klub,FinTech,2019,"Bengaluru, India",2,Growth Stage (Series A),Private
ST160,Smallcase,FinTech,2015,"Bengaluru, India",3,Late Stage (Series C),Private
ST161,INDmoney,FinTech,2019,"Gurugram, India",2,Late Stage (Series D),Private
ST162,Scripbox,FinTech,2012,"Bengaluru, India",2,Late Stage (Series D),Private
ST163,Kuvera,FinTech,2016,"Bengaluru, India",2,Growth Stage (Series A),Acquired
ST164,Wint Wealth,FinTech,2020,"Bengaluru, India",3,Growth Stage (Series A),Private
ST165,LiquiLoans,FinTech,2018,"Mumbai, India",2,Growth Stage (Series B),Private
ST166,Turno,FinTech / EV Financing,2022,"Bengaluru, India",2,Growth Stage (Series A),Private
ST167,Revfin,FinTech / EV Financing,2018,"New Delhi, India",1,Growth Stage (Series B),Private
ST168,Raise Financial (Dhan),FinTech,2021,"Mumbai, India",1,Growth Stage (Series A),Private
ST169,ZestMoney,FinTech,2015,"Bengaluru, India",3,Late Stage (Series C),Acquired
ST170,Faircent,FinTech,2013,"Gurugram, India",2,Growth Stage (Series B),Private
ST171,Purplle,E-commerce,2012,"Mumbai, India",3,Late Stage (Series E),Private
ST172,Licious,E-commerce / D2C,2015,"Bengaluru, India",2,Late Stage (Series F),Private
ST173,The Good Glamm Group,E-commerce,2015,"Mumbai, India",2,Late Stage (Series D),Private
ST174,Wakefit,E-commerce / D2C,2016,"Bengaluru, India",2,Late Stage (Series D),Private
ST175,Sugar Cosmetics,E-commerce / D2C,2015,"Mumbai, India",2,Late Stage (Series D),Private
ST176,WOW Skin Science,E-commerce / D2C,2014,"Bengaluru, India",2,Late Stage (PE / GIC),Private
ST177,Minimalist,E-commerce / D2C,2020,"Jaipur, India",2,Growth Stage (Series A),Private
ST178,Plum Goodness,E-commerce / D2C,2013,"Thane, India",1,Late Stage (Series C),Private
ST179,MCaffeine,E-commerce / D2C,2016,"Mumbai, India",2,Late Stage (Series C),Private
ST180,The Man Company,E-commerce / D2C,2015,"Gurugram, India",3,Growth Stage (Series B),Acquired
ST181,Beardo,E-commerce / D2C,2015,"Ahmedabad, India",2,Growth Stage (Series A),Acquired
ST182,Man Matters (Mosaic),E-commerce / D2C,2020,"Mumbai, India",2,Growth Stage (Series B),Private
ST183,Kapiva,E-commerce / D2C,2016,"Bengaluru, India",2,Late Stage (Series C),Private
ST184,Snitch,E-commerce / D2C,2020,"Bengaluru, India",1,Growth Stage (Series A),Private
ST185,Bewakoof,E-commerce / D2C,2012,"Mumbai, India",2,Late Stage (Series B),Acquired
ST186,The Souled Store,E-commerce / D2C,2013,"Mumbai, India",4,Late Stage (Series C),Private
ST187,Clovia,E-commerce / D2C,2013,"Noida, India",3,Late Stage (Series B),Acquired
ST188,Zivame,E-commerce / D2C,2011,"Bengaluru, India",2,Late Stage (Series C),Acquired
ST189,BlueStone,E-commerce / D2C,2011,"Bengaluru, India",2,Late Stage (Pre-IPO),Private
ST190,CaratLane,E-commerce / D2C,2008,"Chennai, India",2,Late Stage (Series D),Subsidiary
ST191,Giva,E-commerce / D2C,2019,"Bengaluru, India",3,Late Stage (Series B Extended),Private
ST192,Melorra,E-commerce / D2C,2016,"Bengaluru, India",1,Late Stage (Series D),Private
ST193,Nestasia,E-commerce / D2C,2019,"Kolkata, India",2,Growth Stage (Series B),Private
ST194,Beco,E-commerce / D2C,2019,"Mumbai, India",3,Growth Stage (Series B),Private
ST195,SuperBottoms,E-commerce / D2C,2016,"Mumbai, India",1,Growth Stage (Series A),Private
ST196,The Whole Truth,E-commerce / D2C,2019,"Mumbai, India",1,Growth Stage (Series B),Private
ST197,Slurrp Farm,E-commerce / D2C,2016,"New Delhi, India",2,Growth Stage (Series C),Private
ST198,Blue Tokai Coffee,E-commerce / D2C,2013,"New Delhi, India",2,Late Stage (Series C),Private
ST199,Third Wave Coffee,E-commerce / D2C,2016,"Bengaluru, India",3,Late Stage (Series C),Private
ST200,Sleepy Owl Coffee,E-commerce / D2C,2016,"New Delhi, India",3,Growth Stage (Series A),Private
